text,label,text_en,text_hi,text_bn,text_mr,text_te,text_ta,text_gu,text_ur,text_kn,text_or,text_ml
Blue flies landing on food plates from garbage.,garbage,Blue flies landing on food plates from garbage.,और यह भी हो सकता है कि हम इन्हें देखने के लिए तैयार न हों ।,ब्लू मक्खी खाना खाद्य ਪਲੇਟों पर उतरते हैं.,अन् नाच्या शोधात लोक अन् न गोळा करतात.,குப்பைத்தொட்டியிலிருந்து ಆಹಾರ പ്ലേറ്റುಗಳ ಮೇಲೆ ನೀಲಿ ಹಾರಾಡುತ್ತದೆ.,குப்பைத்தொட்டியிலிருந்து ಆಹಾರ പ്ലേറ്റುಗಳ ಮೇಲೆ ನೀಲಿ ಹಾರಾಡುತ್ತದೆ.,ब्लू मक्खी खाना खाद्य ਪਲੇਟों पर उतरते हैं.,[ تصویر کا حوالہ ],குப்பைத்தொட்டியிலிருந்து ಆಹಾರ പ്ലേറ്റುಗಳ ಮೇಲೆ ನೀಲಿ ಹಾರಾಡುತ್ತದೆ.,ब्लू मक्खी खाना खाद्य ਪਲੇਟों पर उतरते हैं.,നീല ഈച്ചകൾ ചവറ്റുകുട്ടയിൽ നിന്ന് ഭക്ഷണ പ്ലേറ്റ് ഇറക്കുന്നു.
Garbage truck breakdown leaving waste uncollected days.,garbage,Garbage truck breakdown leaving waste uncollected days.,कंडेज ट्रक टूट गया दिन बरबाद हो गए.,गਰਾबेड ट्रक नष्ट होने की वजह से बेकार दिनों को छोड़ दिया जाता है ।,विमानाचा आवाज खूप मोठा होता.,"ముండ్లపొదలున్న చెట్లను, దోమలను, దోపిడీ పదార్థాలను, రవాణా యంత్రాలను, రవాణా యంత్రాలను, రవాణా చేయవచ్చు.","ముండ్లపొదలున్న చెట్లను, దోమలను, దోపిడీ పదార్థాలను, రవాణా యంత్రాలను, రవాణా యంత్రాలను, రవాణా చేయవచ్చు.",गਰਾबेड ट्रक नष्ट होने की वजह से बेकार दिनों को छोड़ दिया जाता है ।,ٹرکوں کے حادثے میں اضافہ ہو رہا ہے ۔,"ముండ్లపొదలున్న చెట్లను, దోమలను, దోపిడీ పదార్థాలను, రవాణా యంత్రాలను, రవాణా యంత్రాలను, రవాణా చేయవచ్చు.",गਰਾबेड ट्रक नष्ट होने की वजह से बेकार दिनों को छोड़ दिया जाता है ।,ഗരബേജിന്റെ ട്രക്ക് പൊട്ടിപ്പുറപ്പെട്ടു... ...ഒടുങ്ങാത്ത ദിനങ്ങൾ പാഴാക്കിക്കളയുന്നു.
Balcony garbage falling on pedestrians below regularly.,garbage,Balcony garbage falling on pedestrians below regularly.,हर दिन कम - से - कम एक जगह पर कचरा गिर जाता है ।,रस्त्यांवर चालणाऱ्‍या पाहणाऱ्‍यांना सतत गिरते - फिरते बालकोनी कचरा.,टायरचा आकार कमी होऊ नये म्हणून टायरचा वापर केला जातो.,குப்பைக்கூளಗಳನ್ನು ಕ್ರಮವಾಗಿ கீழே ಕಾಲ್ನಡೆಯಲ್ಲಿ விழಿಸಿರಿ.,குப்பைக்கூளಗಳನ್ನು ಕ್ರಮವಾಗಿ கீழே ಕಾಲ್ನಡೆಯಲ್ಲಿ விழಿಸಿರಿ.,रस्त्यांवर चालणाऱ्‍या पाहणाऱ्‍यांना सतत गिरते - फिरते बालकोनी कचरा.,اِس کی وجہ یہ ہے کہ اُن کے پاؤں میں سے کوئی گِر جاتا ہے اور اُن کے گِرد گِر جاتا ہے ۔,குப்பைக்கூளಗಳನ್ನು ಕ್ರಮವಾಗಿ கீழே ಕಾಲ್ನಡೆಯಲ್ಲಿ விழಿಸಿರಿ.,रस्त्यांवर चालणाऱ्‍या पाहणाऱ्‍यांना सतत गिरते - फिरते बालकोनी कचरा.,""" ബാൾക്കൻ ചപ്പുചവറുകൾ"" (Balcons), ""പിൻസ്റ്റൈൻ"" (PDF), പതിവുപോലെ താഴോട്ടു വീഴുന്നു."
Fruit vendors leaving rotten produce on footpaths.,garbage,Fruit vendors leaving rotten produce on footpaths.,फल विक्रेता पाँवों पर गंदी उपज छोड़ देते हैं ।,▪ • • • गरिबांचा आपल्यावर कसा परिणाम होतो?,हा पक्षी हळूहळू वर येऊ लागतो.,ಪಾದಯಾತ್ರಿಗಳು ಕೆಟ್ಟ ಉತ್ಪನ್ನಗಳನ್ನು ಕಾಲ್ನಡಿಗಳಲ್ಲಿ ಬಿಡುತ್ತಾರೆ.,ಪಾದಯಾತ್ರಿಗಳು ಕೆಟ್ಟ ಉತ್ಪನ್ನಗಳನ್ನು ಕಾಲ್ನಡಿಗಳಲ್ಲಿ ಬಿಡುತ್ತಾರೆ.,▪ • • • गरिबांचा आपल्यावर कसा परिणाम होतो?,پھلدار پھلوں کو مُنہ پر خراب کر دیتے ہیں ۔,ಪಾದಯಾತ್ರಿಗಳು ಕೆಟ್ಟ ಉತ್ಪನ್ನಗಳನ್ನು ಕಾಲ್ನಡಿಗಳಲ್ಲಿ ಬಿಡುತ್ತಾರೆ.,▪ • • • गरिबांचा आपल्यावर कसा परिणाम होतो?,ഫലഭൂയിഷ് ഠരായ ആളുകൾ കാലാപാത്തികളിൽ വിളയുന്നു.
Garbage smell forces residents to keep windows shut.,garbage,Garbage smell forces residents to keep windows shut.,खिड़कियाँ बंद रखने के लिए निवासियों को गंध आ रही है.,ਗਰਬেজ গন্ধ ਨਾਲ ਲੋਕਾਂ ਨੂੰ खिडकी बंद रखने ਲਈ ਮਜਬੂਰ करता है ।,खिडक्या उघड्या आहेत.,కిటికీలను మూసి ఉంచేందుకు గాబజ్‌ ఆకర్షణీయమైన ఆకర్షణీయమైనది.,కిటికీలను మూసి ఉంచేందుకు గాబజ్‌ ఆకర్షణీయమైన ఆకర్షణీయమైనది.,ਗਰਬেজ গন্ধ ਨਾਲ ਲੋਕਾਂ ਨੂੰ खिडकी बंद रखने ਲਈ ਮਜਬੂਰ करता है ।,کھڑکیوں کو بند رکھنے کے لئے کاریں تیار رہتی ہیں ۔,కిటికీలను మూసి ఉంచేందుకు గాబజ్‌ ఆకర్షణీయమైన ఆకర్షణీయమైనది.,ਗਰਬেজ গন্ধ ਨਾਲ ਲੋਕਾਂ ਨੂੰ खिडकी बंद रखने ਲਈ ਮਜਬੂਰ करता है ।,"ജനാലകൾ അടച്ചുപൂട്ടാൻ, ഗരബേജിന്റെ ഗന്ധം."
Garbage blocking main gate entry-exit completely.,garbage,Garbage blocking main gate entry-exit completely.,कगारेज मुख्य गेट प्रविष्टि पूरी तरह से बंद.,Garbage मुख्य फाटक प्रवेश पूर्णतः बंद कर रहा है.,सा. यु. पू.,Garbage Backed ప్రధాన గేట్ ప్రవేశం-ext పూర్తిగా.,Garbage Backed ప్రధాన గేట్ ప్రవేశం-ext పూర్తిగా.,Garbage मुख्य फाटक प्रवेश पूर्णतः बंद कर रहा है.,مرکزی پھاٹک کو اچھی طرح داخل کر نے کے لئے سارے دروازے بند کر دیں.,Garbage Backed ప్రధాన గేట్ ప్రవేశం-ext పూర్తిగా.,Garbage मुख्य फाटक प्रवेश पूर्णतः बंद कर रहा है.,പ്രധാന ഗേറ്റ് എക്സിക്യൂട്ടീവ് ബ്ലോക്ക് ചെയ്യുന്നു.
Toxic liquid from garbage entering rainwater harvesting.,garbage,Toxic liquid from garbage entering rainwater harvesting.,पानी की कटनी में दाखिल होने के लिए कचरे में से पानी निकाला जाता है ।,बारिश पानी की फसल में प्रवेश करते वक्‍त कूचयुक्‍त कूचयुक्‍त द्रव.,पाऊस पडत चालला आहे.,மழை நீரை ಒಗೆಯಿರಿ.,மழை நீரை ಒಗೆಯಿರಿ.,बारिश पानी की फसल में प्रवेश करते वक्‍त कूचयुक्‍त कूचयुक्‍त द्रव.,گرم پانی میں کٹائی کے کام میں حصہ لینے کے لئے استعمال کِیا جاتا ہے ۔,மழை நீரை ಒಗೆಯಿರಿ.,बारिश पानी की फसल में प्रवेश करते वक्‍त कूचयुक्‍त कूचयुक्‍त द्रव.,ചപ്പുചവറുകൾ മഴവെള്ളത്തിലെത്തുമ്പോൾ Toxical science.
No garbage collection vehicle enters narrow lanes.,garbage,No garbage collection vehicle enters narrow lanes.,कोई कचरा संग्रह वाहन सकरे रास्तों में प्रवेश नहीं करता ।,ਕੂੜਾ साठवण गाड़ी तंग लाइसेस માં प्रवेश नहीं करती.,अंडी कशालाच आवडत नाहीत.,குப்பைக் கழிப்பறை இல்லாத வாகனம்.,குப்பைக் கழிப்பறை இல்லாத வாகனம்.,ਕੂੜਾ साठवण गाड़ी तंग लाइसेस માં प्रवेश नहीं करती.,کوئی گندی گاڑی تنگ گلیوں میں داخل نہیں ہوتی ۔,குப்பைக் கழிப்பறை இல்லாத வாகனம்.,ਕੂੜਾ साठवण गाड़ी तंग लाइसेस માં प्रवेश नहीं करती.,ചപ്പുചവറുകൾ ശേഖരിച്ചില്ല.
Vacant plot converted to neighborhood illegal dumpyard.,garbage,Vacant plot converted to neighborhood illegal dumpyard.,Vakt प्लाट पड़ोस के अवैध डंपर्क में बदल गया.,वाकंट योजनाएँ ग़ैर - कानूनी डम्पेडेड में बदली जानेवाली पड़ोसियों को बेकायदेशीर ढिठाई में बदलने की.,यु. पू.,ச. மு.,ச. மு.,वाकंट योजनाएँ ग़ैर - कानूनी डम्पेडेड में बदली जानेवाली पड़ोसियों को बेकायदेशीर ढिठाई में बदलने की.,وِکی منصوبہ‌سازی غیرقانونی محلول میں منتقل ہو گئی ۔,ச. மு.,वाकंट योजनाएँ ग़ैर - कानूनी डम्पेडेड में बदली जानेवाली पड़ोसियों को बेकायदेशीर ढिठाई में बदलने की.,നിയമവിരുദ്ധമായ ചവറ്റുകുട്ടയിലേക്ക് മാറ്റപ്പെട്ടു.
Plastic bins cracked unable to hold heavy waste.,garbage,Plastic bins cracked unable to hold heavy waste.,प्लास्टिक के टुकड़े भारी बर्बाद करने में असमर्थ थे ।,प्लास्टिक के बिन में भारी गड्ढा थामने में असमर्थ थे.,पण या धोक्याला तोंड देण्याकरता कोणती गोष्ट आपली मदत करू शकते?,ప్లాస్టిక్‌ బీన్స్‌,ప్లాస్టిక్‌ బీన్స్‌,प्लास्टिक के बिन में भारी गड्ढा थामने में असमर्थ थे.,مچھلیوں کے فضلے بڑے فضلے کو قابو میں نہیں کر سکتے.,ప్లాస్టిక్‌ బీన్స్‌,प्लास्टिक के बिन में भारी गड्ढा थामने में असमर्थ थे.,പ്ളാസ്റ്റി ബിയിനുകൾ ഭാരിച്ച മാലിന്യങ്ങൾ താങ്ങാൻ കഴിയാതെ പോകുന്നു.
Wild boars destroying garbage bags searching for food.,garbage,Wild boars destroying garbage bags searching for food.,जंगली सूअर कचरे के ढेरों भोजन के लिए खोजते हैं ।,जंगली सूअर खाना शोधून काढणाऱ्‍या कचरा - बछड़ों को नष्ट कर देते हैं ।,"यानचे म्हणणे आहे, की ""सतसेव्हिआनचे मांस सर्वात उत्तम आहे. """,ಸಾಂಕ್ರಾಮಿಕ ರೋಗಗಳು,ಸಾಂಕ್ರಾಮಿಕ ರೋಗಗಳು,जंगली सूअर खाना शोधून काढणाऱ्‍या कचरा - बछड़ों को नष्ट कर देते हैं ।,جنگلی لوگ خوراک کی تلاش میں کوڑے مارتے ہیں ۔,ಸಾಂಕ್ರಾಮಿಕ ರೋಗಗಳು,जंगली सूअर खाना शोधून काढणाऱ्‍या कचरा - बछड़ों को नष्ट कर देते हैं ।,മണ്ണിരകൾ ഭക്ഷണം തേടി ചവറ്റുകുട്ടകൾ നശിപ്പിക്കുന്നു.
Holi color waste clogging entire drainage system.,garbage,Holi color waste clogging entire drainage system.,होरी रंग बर्बाद,होली रंग का बर्बाद संपूर्ण द्रव प्रणाली को गड़बड़ी में डाल रहा है.,या माश् या सहसा रात्रीच्या वेळी रात्रीच्या वेळी रात्रीच्या वेळी प्रवास करतात.,హోలీ நிற ശൂന്യത shutdown cache system is application is application is application.,హోలీ நிற ശൂന്യത shutdown cache system is application is application is application.,होली रंग का बर्बाद संपूर्ण द्रव प्रणाली को गड़बड़ी में डाल रहा है.,ہو سکتا ہے کہ اِس کی وجہ یہ ہو کہ اِن میں سے ہر ایک کا پانی اِستعمال کِیا جاتا ہے ۔,హోలీ நிற ശൂന്യത shutdown cache system is application is application is application.,होली रंग का बर्बाद संपूर्ण द्रव प्रणाली को गड़बड़ी में डाल रहा है.,ഹോളി കളർ ശൂന്യാകാശം മുഴുവൻ അലങ്കോലപ്പെടുത്തുന്നു.
Dustbins overflowing within 12 hours of emptying.,garbage,Dustbins overflowing within 12 hours of emptying.,धूल 12 घंटे की खाली जगह पर उमड़ती है ।,▪ ▪ ▪ (w13 - E 05 / 01) [ ਕ੍ਰੈਡਿਟ ਲਾਈਨ],पाऊस पडत चालला होता.,కేవలం 12 గంటల్లోనే వరదలు విస్తరించి వరదలు విరజిమ్ముతున్నాయి.,కేవలం 12 గంటల్లోనే వరదలు విస్తరించి వరదలు విరజిమ్ముతున్నాయి.,▪ ▪ ▪ (w13 - E 05 / 01) [ ਕ੍ਰੈਡਿਟ ਲਾਈਨ],پیٹھ کے پیچھے ۱۲ گھنٹے کے اندر داخل ہو جاتے ہیں.,కేవలం 12 గంటల్లోనే వరదలు విస్తరించి వరదలు విరజిమ్ముతున్నాయి.,▪ ▪ ▪ (w13 - E 05 / 01) [ ਕ੍ਰੈਡਿਟ ਲਾਈਨ],വെറും 12 മണിക്കൂറിനുള്ളിൽ ഡസ്ബിൻസ് നിറഞ്ഞു.
Garbage under transformers causing electrical short-circuits.,garbage,Garbage under transformers causing electrical short-circuits.,"कायापलट करनेवालों के नीचे सीटें, बिजली की छोटी - छोटी अंग पैदा करती हैं.",रूपांतरणकर्ताओं के अधीन गर्जनामुळे විදුලි-विद्यालय अल्प-समुक्‍तता उत्पन्‍न होते.,"[ अभ्यासाचे प्रश् न] १, २.","""sagaby"" (garbuge signers), time-caquitts గాబజ్.","""sagaby"" (garbuge signers), time-caquitts గాబజ్.",रूपांतरणकर्ताओं के अधीन गर्जनामुळे විදුලි-विद्यालय अल्प-समुक्‍तता उत्पन्‍न होते.,گیس جو بجلی کو مختصر کر دیتا ہے.,"""sagaby"" (garbuge signers), time-caquitts గాబజ్.",रूपांतरणकर्ताओं के अधीन गर्जनामुळे විදුලි-विद्यालय अल्प-समुक्‍तता उत्पन्‍न होते.,"ഡിസൈനർമാരുടെ കീഴിൽ, ഇലക്ട്രിക്കൽ-സിക്യൂട്ടറുകൾ."
Bi-weekly collection insufficient for growing population.,garbage,Bi-weekly collection insufficient for growing population.,बढ़ती आबादी के लिए सीमित सप्ताह का संग्रह.,by-weekly संग्रह,भारताची लोकसंख्या सुमारे ३० लाख आहे.,"""Bi- వారం"" సేకరణ అభివృద్ధి చెందుతున్న ప్రజల సంఖ్యకు సరిపడా అక్కరలు లేనిది.","""Bi- వారం"" సేకరణ అభివృద్ధి చెందుతున్న ప్రజల సంఖ్యకు సరిపడా అక్కరలు లేనిది.",by-weekly संग्रह,آبادی کے لئے غریب ترین مواد.,"""Bi- వారం"" సేకరణ అభివృద్ధి చెందుతున్న ప్రజల సంఖ్యకు సరిపడా అక్కరలు లేనిది.",by-weekly संग्रह,ബി-വെക്റ്റീവ് ശേഖരം ജനകീയതക്ക് ആവശ്യമായി വന്നില്ല.
Garbage decomposition juice flowing into homes.,garbage,Garbage decomposition juice flowing into homes.,ब्लॉज़ डी कॉम्क रस घर में बह रहा है.,▪ ▪ ▪ ▪ (g13 - E 02),"पण, हे ठिकाण फार काळ टिकलं नाही.",Garbage decooma Compile struct) ಮನೆகளுக்குள் ഒഴുകുന്നു.,Garbage decooma Compile struct) ಮನೆகளுக்குள் ഒഴുകുന്നു.,▪ ▪ ▪ ▪ (g13 - E 02),اِس کی وجہ یہ ہے کہ اِن میں سے زیادہ‌تر لوگ اِس بیماری کی وجہ سے مر جاتے ہیں ۔,Garbage decooma Compile struct) ಮನೆகளுக்குள் ഒഴുകുന്നു.,▪ ▪ ▪ ▪ (g13 - E 02),ഗാരജ് ഡിപ്പാർട്ട്മെൻറ് ഡിജിറ്റൽ ജ്യൂസ് വീടുകളിലേക്കു കടക്കുന്നു.
Dead animals rotting in open garbage piles.,garbage,Dead animals rotting in open garbage piles.,मृत जानवर खुले कचरे में सड़ रहे हैं.,"मृत जानवर, कचऱ्‍यावरील कूच - घागरी खिड़क्यांनी ग्रासले जाते.",यु. पू.,ಸಾ. ಶ.,ಸಾ. ಶ.,"मृत जानवर, कचऱ्‍यावरील कूच - घागरी खिड़क्यांनी ग्रासले जाते.",مُردہ جانوروں کو کوڑے کے ڈھیر لگ جاتے ہیں ۔,ಸಾ. ಶ.,"मृत जानवर, कचऱ्‍यावरील कूच - घागरी खिड़क्यांनी ग्रासले जाते.",ചപ്പുചവറുകൾ തുറന്ന ചവറ്റുകൂനകളിൽ മുങ്ങിക്കിടക്കുന്നു.
Mosquito larvae clearly visible in garbage water pools.,garbage,Mosquito larvae clearly visible in garbage water pools.,पानी के पूलों में साफ नज़र आता है ।,मस्कीटो लाइसे कचऱ्‍यावरील जलाशयात स्पष्ट दिसतात.,पण हे कसे शक्य आहे?,குப்பைనీటి గుளிக்கే నీటి మలರೇಳಿನಲ್ಲಿ స్పష్టంగా కనిపిస్తుంది.,குப்பைనీటి గుளிக்கే నీటి మలರೇಳಿನಲ್ಲಿ స్పష్టంగా కనిపిస్తుంది.,मस्कीटो लाइसे कचऱ्‍यावरील जलाशयात स्पष्ट दिसतात.,پانی کے برتنوں میں صاف نظر آتے ہیں ۔,குப்பைనీటి గుளிக்கే నీటి మలರೇಳಿನಲ್ಲಿ స్పష్టంగా కనిపిస్తుంది.,मस्कीटो लाइसे कचऱ्‍यावरील जलाशयात स्पष्ट दिसतात.,"""മസ്ക്വ""കൾ (Muskoquare), ജലം ചപ്പുചവറുകൾ കാണപ്പെടുന്നു."
Garbage collection workers demanding extra payments.,garbage,Garbage collection workers demanding extra payments.,मज़दूरों के लिए अतिरिक्‍त भुगतान की माँग की जाती है ।,गैबज संग्रह के कर्मचारी अतिरिक्‍त पैसों की माँग करते हैं ।,(नीति.,[ ಪಾದಟಿಪ್ಪಣಿಗಳ,[ ಪಾದಟಿಪ್ಪಣಿಗಳ,गैबज संग्रह के कर्मचारी अतिरिक्‍त पैसों की माँग करते हैं ।,اِس کے علاوہ اَور بھی بہت سے کام ہیں جن کی وجہ سے اُن کی تنخواہ بڑھ گئی ہے ۔,[ ಪಾದಟಿಪ್ಪಣಿಗಳ,गैबज संग्रह के कर्मचारी अतिरिक्‍त पैसों की माँग करते हैं ।,ഗരബേജിന്റെ ശേഖരം കൂടുതൽ പണം സമ്പാദിക്കുന്ന ജോലിക്കാർ.
High-rise throwing elevator waste down staircases.,garbage,High-rise throwing elevator waste down staircases.,उच्च लिफ्ट नीचे लिफ्ट बर्बाद.,লিফটেन नीच सीढ़ियों के नीचे निकास फेंकने की उच्च क्षमता.,आग लागली आहे.,హైనేట్ ఎలివేటర్ వ్యర్థతను మెట్లలో డౌన్ విరమణ విరమణ.,హైనేట్ ఎలివేటర్ వ్యర్థతను మెట్లలో డౌన్ విరమణ విరమణ.,লিফটেन नीच सीढ़ियों के नीचे निकास फेंकने की उच्च क्षमता.,اعلی ترین فضلے نیچے گر.,హైనేట్ ఎలివేటర్ వ్యర్థతను మెట్లలో డౌన్ విరమణ విరమణ.,লিফটেन नीच सीढ़ियों के नीचे निकास फेंकने की उच्च क्षमता.,ഉയരം കുറഞ്ഞ എലിവേറ്റർ സ്റ്റെയർ ബോഡികൾ താഴെ എറിയുന്നു.
Meat shop waste attracting stray dogs aggressively.,garbage,Meat shop waste attracting stray dogs aggressively.,मेले की दुकान बर्बाद... ... कुत्तों पर हमला कर रही है.,मातल दुकानदारों की दुकानें कुत्तों को बेवकूफी से आकर्षक बनाती हैं ।,हत्तींना कुत्रे आवडतात.,ಮೀ.,ಮೀ.,मातल दुकानदारों की दुकानें कुत्तों को बेवकूफी से आकर्षक बनाती हैं ।,اِس کی وجہ یہ ہے کہ اُن کے کتوں نے اُن کے دل پر گہرا اثر کِیا ہے ۔,ಮೀ.,मातल दुकानदारों की दुकानें कुत्तों को बेवकूफी से आकर्षक बनाती हैं ।,"മയിലുകൾ, വഴിതെറ്റി നടക്കുന്ന പട്ടികളെ ആകർഷിക്കുന്നു."
Garbage penetrating bedroom windows during sleep.,garbage,Garbage penetrating bedroom windows during sleep.,नींद के दौरान गारबॉइडी बेडरूम की खिड़कियों.,"झोपेत असताना, बूंडिंग बेडरूम खिड़कियाँ गार्जেজ.",खिडकी उघड.,▪ “രണ്ടാം നൂറ്റാണ്ടിന്‍റെ ആരംഭം. ”,▪ “രണ്ടാം നൂറ്റാണ്ടിന്‍റെ ആരംഭം. ”,"झोपेत असताना, बूंडिंग बेडरूम खिड़कियाँ गार्जেজ.",نیند کے دوران صفائی‌ستھرائی کی کھڑکیاں صاف کریں ۔,▪ “രണ്ടാം നൂറ്റാണ്ടിന്‍റെ ആരംഭം. ”,"झोपेत असताना, बूंडिंग बेडरूम खिड़कियाँ गार्जেজ.",ഗാർബേജ് ബെഡ്റൂമിലെ ജനാലകൾ.
Sports ground boundary filled with dumped garbage.,garbage,Sports ground boundary filled with dumped garbage.,खेलकूद भूमि किनारा डंप हुए कचरा के साथ भर गया.,ਕੂੜਾ - ਕਰਕਟ ਨਾਲ ਭਰੇ ਹੋਏ ਖੇਤਾਂ ਦੀ ਹੱਦ ।,पाऊस पडत होता.,ಕಸ ಕಸದಿಂದ ತುಂಬಿರುವ ಕ್ರೀಡೆಗಳ ಮೇರೆಯು ಕಸದಿಂದ ತುಂಬಿದೆ.,ಕಸ ಕಸದಿಂದ ತುಂಬಿರುವ ಕ್ರೀಡೆಗಳ ಮೇರೆಯು ಕಸದಿಂದ ತುಂಬಿದೆ.,ਕੂੜਾ - ਕਰਕਟ ਨਾਲ ਭਰੇ ਹੋਏ ਖੇਤਾਂ ਦੀ ਹੱਦ ।,جنگلی طور پر مٹی کے ڈھیروں سے بھرا ہوا ہے ۔,ಕಸ ಕಸದಿಂದ ತುಂಬಿರುವ ಕ್ರೀಡೆಗಳ ಮೇರೆಯು ಕಸದಿಂದ ತುಂಬಿದೆ.,ਕੂੜਾ - ਕਰਕਟ ਨਾਲ ਭਰੇ ਹੋਏ ਖੇਤਾਂ ਦੀ ਹੱਦ ।,ചപ്പുചവറുകൾ നിറഞ്ഞ സ്ഥലങ്ങൾ.
Garbage contaminated floodwater entering neighborhood.,garbage,Garbage contaminated floodwater entering neighborhood.,घरों में दूषित बाढ़ का पानी आस - पड़ोस में घुस जाता है ।,ਭੂ - ਪ੍ਰੇਤਾਂ से भरी हुई ਜਲ - ਪਰਲੋ,यु. पू.,ನೆರೆಹೊರೆ ಪ್ರವೇಶಿಸುವ ಜಲಪ್ರಳಯ ನೀರಿನ ಕಲ್ಮಶವನ್ನು ಕಲುಷಿತಗೊಳಿಸಿದೆ.,ನೆರೆಹೊರೆ ಪ್ರವೇಶಿಸುವ ಜಲಪ್ರಳಯ ನೀರಿನ ಕಲ್ಮಶವನ್ನು ಕಲುಷಿತಗೊಳಿಸಿದೆ.,ਭੂ - ਪ੍ਰੇਤਾਂ से भरी हुई ਜਲ - ਪਰਲੋ,آلودہ پانی کی وجہ سے علاقے میں داخل ہونے والے پانی میں داخل ہو جاتے ہیں ۔,ನೆರೆಹೊರೆ ಪ್ರವೇಶಿಸುವ ಜಲಪ್ರಳಯ ನೀರಿನ ಕಲ್ಮಶವನ್ನು ಕಲುಷಿತಗೊಳಿಸಿದೆ.,ਭੂ - ਪ੍ਰੇਤਾਂ से भरी हुई ਜਲ - ਪਰਲੋ,ഗരബേജിന്റെ മലിനജലം അയൽ പ്രദേശങ്ങളിലേക്കു കടക്കുന്നു.
No night shift garbage collection for restaurants.,garbage,No night shift garbage collection for restaurants.,कोई रात होटलों के लिए कचरे के संग्रह में बदलता नहीं है.,রেস্টুরেন্টો માટે रात के कचरे जमा नहीं.,रात्र झाली नाही.,"ಶನಿವಾರದಂದು, ಬ್ಲೀಚ್‌ ರೆಸ್ಟೊರೆಂಟ್‌ಗಳಿಗಾಗಿ ಕಸ ರಾಶಿಯನ್ನು ಯಾವುದೇ ರಾತ್ರಿ ಬಚ್ಚಿಡಲಾಗುವುದಿಲ್ಲ.","ಶನಿವಾರದಂದು, ಬ್ಲೀಚ್‌ ರೆಸ್ಟೊರೆಂಟ್‌ಗಳಿಗಾಗಿ ಕಸ ರಾಶಿಯನ್ನು ಯಾವುದೇ ರಾತ್ರಿ ಬಚ್ಚಿಡಲಾಗುವುದಿಲ್ಲ.",রেস্টুরেন্টો માટે रात के कचरे जमा नहीं.,کوئی رات صاف کرنے کے لئے کوئی رات نہیں کھلی.,"ಶನಿವಾರದಂದು, ಬ್ಲೀಚ್‌ ರೆಸ್ಟೊರೆಂಟ್‌ಗಳಿಗಾಗಿ ಕಸ ರಾಶಿಯನ್ನು ಯಾವುದೇ ರಾತ್ರಿ ಬಚ್ಚಿಡಲಾಗುವುದಿಲ್ಲ.",রেস্টুরেন্টો માટે रात के कचरे जमा नहीं.,റെസ്റ്റോറൻറുകൾക്കുള്ള രാത്രി ഷിഫ്റ്റ് ശേഖരം ഇല്ല.
Street corner permanently established as dump site.,garbage,Street corner permanently established as dump site.,सड़क के कोने को डंप साइट के रूप में बनाया गया है.,सड़क कोनाव डंप સાઇट તરીકે স্থায়ী रूप से स्थापित ਹੋਇਆ.,न्यूयॉर्कला जाण्याकरता मार्ग मोकळा करा.,ಸ್ಟ್ರೀಟ್ ಮೂಲವು ಎಂದೆಂದಿಗೂ డంప్‌ ಸೈಟ್ ಆಗಿ ಸ್ಥಾಪಿಸಲ್ಪಟ್ಟಿದೆ.,ಸ್ಟ್ರೀಟ್ ಮೂಲವು ಎಂದೆಂದಿಗೂ డంప్‌ ಸೈಟ್ ಆಗಿ ಸ್ಥಾಪಿಸಲ್ಪಟ್ಟಿದೆ.,सड़क कोनाव डंप સાઇट તરીકે স্থায়ী रूप से स्थापित ਹੋਇਆ.,سڑک کو مستقل طور پر مستقل طور پر قائم کِیا جاتا ہے ۔,ಸ್ಟ್ರೀಟ್ ಮೂಲವು ಎಂದೆಂದಿಗೂ డంప్‌ ಸೈಟ್ ಆಗಿ ಸ್ಥಾಪಿಸಲ್ಪಟ್ಟಿದೆ.,सड़क कोनाव डंप સાઇट તરીકે স্থায়ী रूप से स्थापित ਹੋਇਆ.,സ്ട്രീറ്റ് മൂല്ഡിൽ ചവറ്റുകുട്ടയായി സ്ഥിരീകരിച്ചിരിക്കുന്നു.
Wheelie bins too heavy for residents to move.,garbage,Wheelie bins too heavy for residents to move.,वहाँ जाने के लिए आने वाले निवासियों के लिए बहुत भारी  व्हीलचेयर.,व्हीलि बिन बहुत भारी होते.,आणखी एक उदाहरण विचारात घ्या.,పౌరులు కదులుతున్నప్పుడు వీలీ bins చాలా ಭಾರ.,పౌరులు కదులుతున్నప్పుడు వీలీ bins చాలా ಭಾರ.,व्हीलि बिन बहुत भारी होते.,وہاں منتقل کرنے کے لئے بہت زیادہ خطرناک لگ رہا ہے.,పౌరులు కదులుతున్నప్పుడు వీలీ bins చాలా ಭಾರ.,व्हीलि बिन बहुत भारी होते.,"While Binness, William Binness (ഭാഷ: ഇംഗ്ലീഷ്). ശേഖരിച്ചത് January 3, 2018."
